ObjectID,ProjectID,AssetID,AreaID,Region,DataFormat,Orgnztion,URL,Notes,Contact,Email,FundType,FunderName,FundEnd,FundSec,ProjFocus,PhysFocus,BioFocus,InstiType,AssetType,StudyType,TidalExp,EcoType,Latitude,Longitude,Depth_m_,ProfileMin,ProfileMax,MeasType,MeasFreq,Meas/Yr,MeasPeriod,ProgDur,YearSamp,StartYr,EndYr,Ongoing,DataFreq,DiscSWpCO2,ATMpCO2,DiscSWpH,DiscTA,DiscDIC,SatState,DiscDO,isSWpCO2,isSWpH,isDIC,isDO,CalcPmtrs,Methods,Instrument,Temp,Salinity,Pressure,Turbidity,DOC,OtherPhys,Nutrients,Chlrophyl,Nitrate,Ammonium,Phosphate,Silicate,Iron,BioSamples,BioAbund,BioAdapt,BioBiomass,BioCalc,BioComm,BioDistr,BioDiv,BioEvol,BioFoodweb,BioGrRate,BioPhtosyn,BioRecr,BioSurv,BioMovmnt,BioBehvor,OtherBio,OAHFocus,DisCrbPmtr,ISCrbPmtr
OR690,OR Shellfish Water Quality Monitoring,Tillamook Bay 17-412408-Crab Harbor Anchorage,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,45.55168,-123.93518,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR691,OR Shellfish Water Quality Monitoring,Tillamook Bay 18-842521-NW Kincheloe Pt W of Nav Marker #10,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,45.55835,-123.9336,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR692,OR Shellfish Water Quality Monitoring,"Tillamook Bay 19-842429-New North Center
  So of Nav Marker #12",,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,45.55267,-123.92304,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR693,OR Shellfish Water Quality Monitoring,Umpqua River and Winchester Bay 1-271202-N Side of Cornwall Pt,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,43.688215,-124.1798462,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR694,OR Shellfish Water Quality Monitoring,Umpqua River and Winchester Bay 2-412504-Jerden Cove,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,43.69583,-124.16168,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR695,OR Shellfish Water Quality Monitoring,Umpqua River and Winchester Bay 3-412505-Macey Cove,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,43.70148,-124.15792,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR696,OR Shellfish Water Quality Monitoring,"Umpqua River and Winchester Bay 4-412077-Marker #12, Double Cove Pt",,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,43.71345,-124.1534,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR697,OR Shellfish Water Quality Monitoring,Umpqua River and Winchester Bay 5-412506-Big Bend - inside,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,43.72047,-124.15802,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR698,OR Shellfish Water Quality Monitoring,Umpqua River and Winchester Bay 6-271203-So of Henderson Cove,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,43.71718,-124.15191,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR699,OR Shellfish Water Quality Monitoring,Umpqua River Triangle 1-412513-Umpqua R. at Triangle East,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,43.66495,-124.20901,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR700,OR Shellfish Water Quality Monitoring,Umpqua River Triangle 2-412514-Umpqua R. at Triangle West,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,43.66595,-124.21329,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR701,OR Shellfish Water Quality Monitoring,Upper Coos 1-412090-Marker #36,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,43.40844,-124.21957,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR702,OR Shellfish Water Quality Monitoring,"Upper Coos 2-269091-New USCG, tank farm @ Newmark",,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,43.39072,-124.21755,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR703,OR Shellfish Water Quality Monitoring,Upper Coos 3-412423-So. of Crawford Point,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,42.23183,-124.11929,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR704,OR Shellfish Water Quality Monitoring,Upper Coos 4-412398-No. of Crawford Pt.,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,43.39108,-124.20172,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR705,OR Shellfish Water Quality Monitoring,Upper Coos 5-269369-Silver Point 9 Southeast,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,43.39775,-124.19898,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR706,OR Shellfish Water Quality Monitoring,Upper Coos 6-269307-Willanch mouth,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,43.40288,-124.19885,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR707,OR Shellfish Water Quality Monitoring,Upper Coos 7-999444-Pt N Willanch Inlet,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,43.40652,-124.2,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR708,OR Shellfish Water Quality Monitoring,Upper Coos 8-269306-Glasgow Pt (mid Kentuck mouth),,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,43.41792,-124.19704,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR709,OR Shellfish Water Quality Monitoring,Upper Coos 9-999407-Silver Point 7 East,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,43.42265,-124.20469,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR710,OR Shellfish Water Quality Monitoring,Upper Coos 10-999305-Silver Point 6 East,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,43.43076,-124.2104,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR711,OR Shellfish Water Quality Monitoring,Upper Coos 11-269301-Silver Pt 3,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,43.43307,-124.2211,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR712,OR Shellfish Water Quality Monitoring,Upper Coos 12-412307-Haynes @ mouth,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,43.43956,-124.21978,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR713,OR Shellfish Water Quality Monitoring,Upper Coos 13-412368-Clausen Dock,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,43.44858,-124.20394,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR714,OR Shellfish Water Quality Monitoring,Upper Coos 14-412304-N. Slough Mouth,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,43.43809,-124.23531,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR715,OR Shellfish Water Quality Monitoring,Upper Coos 15-412322-Jordan Point,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,43.43143,-124.23602,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR716,OR Shellfish Water Quality Monitoring,"Upper Coos 16-412088-Marker #27, RR Bridge",,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,43.42661,-124.24197,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR717,OR Shellfish Water Quality Monitoring,Upper Coos 17-412089-Off Ferry Rd Park,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,43.42,-124.2162,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR718,OR Shellfish Water Quality Monitoring,Yaquina Bay 1-265042-Upper Pooles (.8 m frm mouth),,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,44.56988,-124.00665,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR719,OR Shellfish Water Quality Monitoring,Yaquina Bay 2-265045-Mouth of Johnson Sl,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,44.57734,-123.98911,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR720,OR Shellfish Water Quality Monitoring,"Yaquina Bay 3-412031-Marker #19, Weiser Pt",,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,44.59517,-124.01408,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR721,OR Shellfish Water Quality Monitoring,Yaquina Bay 4-412033-Marker # 25,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,44.58327,-124.01234,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR722,OR Shellfish Water Quality Monitoring,Yaquina Bay 5-412035-Oregon Oyster,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,44.57941,-123.99512,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR723,OR Shellfish Water Quality Monitoring,Yaquina Bay 6-412036-Marker #28,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,44.57327,-123.98373,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR724,OR Shellfish Water Quality Monitoring,Yaquina Bay 7-412052-Pooles Slough @ mouth,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,44.5779,-124.00925,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR725,OR Shellfish Water Quality Monitoring,"Yaquina Bay 8-412412-Marker #20, across frm River Bend",,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,44.59056,-124.02232,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
OR726,OR Shellfish Water Quality Monitoring,Yaquina Bay 9-412413-McCafertyÕs Slough @ mouth,,Oregon,point,Oregon Department of Agriculture,,Water quality data is collected adjacent to commercial aquaculture areas by the commercial shellfish industry.,Alex Manderson,amanderson@oda.state.or.us,,,,,Biological,,Bacterial Loading,Agency,Sample Site,Field Survey,Yes,Estuarine; Aquaculture,44.5794,-124.01809,0,,,spot,Monthly,12,Year-Round,24,1994-Present,1994,Present,Yes,,No,No,No,No,No,No,No,No,Yes,No,No,,Handheld temperature;salinity;ph probe used for site characterization,,Yes,Yes,No,No,No,,No,No,No,No,No,No,No,Bacteria,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Fecal Coliform,OA,0,1
